Matrix,Schedule,Threads,ChunkSize,p90_Time_ms,p90_GFLOPs,Speedup,Efficiency
circuit5M.mtx,static,64,1,145.6185,0.880335,0.6839001912531717,1.0685940488330807
circuit5M.mtx,static,64,4,173.404,1.084039,0.5743150100343706,0.897367203178704
circuit5M.mtx,static,64,16,263.1373,0.9880177,0.37846599474874904,0.5913531167949204
circuit5M.mtx,static,64,64,438.1769,0.8077569,0.22727925639165367,0.35512383811195886
circuit5M.mtx,static,64,256,338.412,1.1799879999999996,0.2942818812571658,0.4598154394643216
circuit5M.mtx,static,64,1024,383.8089,0.5001269,0.25947423314050294,0.40542848928203584
circuit5M.mtx,dynamic,64,1,434.4458,0.2989737,0.2292311722198718,0.3581737065935497
circuit5M.mtx,dynamic,64,4,215.1645,0.6312619,0.46284828584641047,0.7232004466350164
circuit5M.mtx,dynamic,64,16,202.58239999999998,0.747129,0.4915951237619852,0.7681173808781019
circuit5M.mtx,dynamic,64,64,293.60799999999995,0.6448245,0.3391887142039727,0.5299823659437073
circuit5M.mtx,dynamic,64,256,434.1943,0.4564132,0.22936395065527113,0.3583811728988611
circuit5M.mtx,dynamic,64,1024,473.18609999999995,0.4403947,0.21046374777281074,0.32884960589501677
circuit5M.mtx,guided,64,1,323.2335,0.6756931,0.308100862070299,0.4814075969848422
circuit5M.mtx,guided,64,4,338.3179,0.6616774000000001,0.2943637330451625,0.45994333288306644
circuit5M.mtx,guided,64,16,322.4004,0.7221301999999999,0.30889701129403063,0.4826515801469229
circuit5M.mtx,guided,64,64,338.39509999999996,0.6232559,0.29429657817149246,0.45983840339295695
circuit5M.mtx,guided,64,256,348.4056,0.7389517999999999,0.28584075571690004,0.4466261808076563
circuit5M.mtx,guided,64,1024,335.6625,0.6724045999999999,0.2966924217033478,0.46358190891148093
memchip.mtx,static,2,1,46.820029999999996,0.7229697,0.6245438116976859,31.227190584884294
memchip.mtx,static,2,4,43.67726,0.8125197999999999,0.6694824721147802,33.47412360573901
memchip.mtx,static,2,16,43.08728,0.7803603,0.6786494761330955,33.93247380665477
memchip.mtx,static,2,64,37.49302,0.8947636999999999,0.7799094338092797,38.99547169046399
memchip.mtx,static,2,256,31.71119,1.102075,0.9221085679849921,46.105428399249604
memchip.mtx,static,2,1024,28.8341,1.292478,1.0141173124876448,50.70586562438224
memchip.mtx,dynamic,2,1,422.8329,0.07437325,0.0691553566432508,3.4577678321625402
memchip.mtx,dynamic,2,4,142.0539,0.24367419999999998,0.20584552764830816,10.292276382415407
memchip.mtx,dynamic,2,16,60.09517,0.5330248000000001,0.4865808683127113,24.329043415635564
memchip.mtx,dynamic,2,64,39.85646,0.8381689999999999,0.7336617451725518,36.68308725862759
memchip.mtx,dynamic,2,256,28.2963,1.244211,1.0333916448440257,51.66958224220129
memchip.mtx,dynamic,2,1024,25.70992,1.403053,1.1373493188621357,56.86746594310679
memchip.mtx,guided,2,1,32.58381,1.099499,0.897413776964695,44.87068884823475
memchip.mtx,guided,2,4,27.334629999999997,1.279408,1.069747788793922,53.487389439696095
memchip.mtx,guided,2,16,32.10758,1.171451,0.9107245080445179,45.536225402225895
